Words,Types,Sentences,Title
769,353,27,Lyndon_B._Johnson_1965-03-26_2
5725,832,371,Lyndon_B._Johnson_1965-04-07
4676,1238,247,Lyndon_B._Johnson_1965-04-27
247,130,13,Lyndon_B._Johnson_1965-04-28
2665,772,125,Lyndon_B._Johnson_1965-05-02
2469,809,137,Lyndon_B._Johnson_1965-05-13
4581,1159,215,Lyndon_B._Johnson_1965-06-01
2831,875,169,Lyndon_B._Johnson_1965-06-04
1128,442,47,Lyndon_B._Johnson_1965-06-11
3678,662,162,Lyndon_B._Johnson_1965-06-25
4277,1081,223,Lyndon_B._Johnson_1965-07-13
5245,1264,247,Lyndon_B._Johnson_1965-07-28
1867,625,100,Lyndon_B._Johnson_1965-08-06
4931,1254,226,Lyndon_B._Johnson_1965-08-25
5564,1382,253,Lyndon_B._Johnson_1966-01-12
808,315,37,Lyndon_B._Johnson_1966-01-31
3936,1086,200,Lyndon_B._Johnson_1966-02-23
1595,589,81,Lyndon_B._Johnson_1966-03-23
3846,992,199,Lyndon_B._Johnson_1966-06-30
4922,1262,260,Lyndon_B._Johnson_1966-07-05
2551,787,135,Lyndon_B._Johnson_1966-07-12
4090,1069,197,Lyndon_B._Johnson_1966-07-20
3934,1052,203,Lyndon_B._Johnson_1966-10-06
839,369,47,Lyndon_B._Johnson_1966-10-15
320,173,17,Lyndon_B._Johnson_1966-10-17
3197,787,193,Lyndon_B._Johnson_1966-12-31
14422,1715,698,Lyndon_B._Johnson_1967-01-10
3258,780,185,Lyndon_B._Johnson_1967-02-02
4446,1066,262,Lyndon_B._Johnson_1967-03-09
3454,1079,162,Lyndon_B._Johnson_1967-03-15
901,349,35,Lyndon_B._Johnson_1967-07-24
1920,706,111,Lyndon_B._Johnson_1967-07-27
4358,1036,253,Lyndon_B._Johnson_1967-08-18
2819,882,141,Lyndon_B._Johnson_1967-09-29
5542,1206,326,Lyndon_B._Johnson_1967-11-17
8973,1506,601,Lyndon_B._Johnson_1967-12-19
9894,1320,506,Lyndon_B._Johnson_1968-01-17
4117,1113,192,Lyndon_B._Johnson_1968-03-31
2614,794,112,Lyndon_B._Johnson_1968-04-01
420,114,14,Lyndon_B._Johnson_1968-04-03
690,297,36,Lyndon_B._Johnson_1968-04-11
1144,450,50,Lyndon_B._Johnson_1968-07-01
2102,627,82,Lyndon_B._Johnson_1968-10-31
8254,1131,386,Lyndon_B._Johnson_1969-01-14
4684,953,239,Richard_M._Nixon_1952-09-23
2126,707,103,Richard_M._Nixon_1969-01-20
4566,1104,220,Richard_M._Nixon_1969-11-03
4485,1190,197,Richard_M._Nixon_1970-01-22
2719,766,130,Richard_M._Nixon_1970-04-30
4541,1064,191,Richard_M._Nixon_1971-01-22
3547,992,161,Richard_M._Nixon_1971-02-25
2595,733,116,Richard_M._Nixon_1971-04-07
271,146,11,Richard_M._Nixon_1971-05-20
4006,1101,172,Richard_M._Nixon_1972-01-20
2529,709,120,Richard_M._Nixon_1972-01-25
2234,673,117,Richard_M._Nixon_1972-05-08
594,238,23,Richard_M._Nixon_1972-11-06
702,266,15,Richard_M._Nixon_1972-11-07
1806,509,68,Richard_M._Nixon_1973-01-20
1255,418,51,Richard_M._Nixon_1973-01-23
2770,828,111,Richard_M._Nixon_1973-04-30
3624,987,149,Richard_M._Nixon_1973-08-15
5187,1178,203,Richard_M._Nixon_1974-01-30
5392,1113,199,Richard_M._Nixon_1974-02-25
4798,1149,175,Richard_M._Nixon_1974-04-29
1805,540,60,Richard_M._Nixon_1974-08-08
1818,502,94,Richard_M._Nixon_1974-08-09
4636,1321,230,Ronald_Reagan_1964-10-27
773,312,31,Ronald_Reagan_1976-08-19
3682,1110,168,Ronald_Reagan_1979-11-13
4675,1309,201,Ronald_Reagan_1980-07-17
2429,849,127,Ronald_Reagan_1981-01-20
4480,1114,210,Ronald_Reagan_1981-01-29
2424,833,123,Ronald_Reagan_1981-04-28
3251,1041,149,Ronald_Reagan_1981-05-17
3913,1185,183,Ronald_Reagan_1981-06-29
3482,1027,176,Ronald_Reagan_1981-07-27
2465,628,180,Ronald_Reagan_1981-08-03
3272,1006,163,Ronald_Reagan_1981-11-18
2183,791,105,Ronald_Reagan_1981-12-23
5206,1479,248,Ronald_Reagan_1982-01-26
4435,1400,198,Ronald_Reagan_1982-06-08
3442,1067,181,Ronald_Reagan_1982-06-09
3525,1131,181,Ronald_Reagan_1982-06-17
3071,893,165,Ronald_Reagan_1982-08-16
2938,836,131,Ronald_Reagan_1982-09-01
1277,454,64,Ronald_Reagan_1982-09-20
5620,1533,259,Ronald_Reagan_1983-01-25
5051,1538,226,Ronald_Reagan_1983-02-18
3878,1274,175,Ronald_Reagan_1983-03-08
4553,1270,243,Ronald_Reagan_1983-03-23
4347,1304,221,Ronald_Reagan_1983-04-27
2581,904,122,Ronald_Reagan_1983-09-05
8326,1232,434,Ronald_Reagan_1983-10-27
867,391,40,Ronald_Reagan_1983-11-02
989,413,54,Ronald_Reagan_1983-11-04
4999,1498,290,Ronald_Reagan_1984-01-25
726,361,44,Ronald_Reagan_1984-01-29
2374,456,124,Ronald_Reagan_1984-05-28
2312,462,121,Ronald_Reagan_1984-06-03
1847,661,101,Ronald_Reagan_1984-06-06
5101,1497,288,Ronald_Reagan_1984-08-23
15577,2124,955,Ronald_Reagan_1984-10-07
5702,1231,253,Ronald_Reagan_1984-10-21
2580,879,122,Ronald_Reagan_1985-01-21
4251,1365,222,Ronald_Reagan_1985-02-06
