Index,TokensCount,TypesCount,TypesCountMean,TypesCountStdDev,Sentences,Language,Modified,Title,Author
238,2465,658,3.7462006,11.348808,148,en,1704194868931,Harry_S._Truman_1951-04-11,
239,1960,549,3.5701275,9.213659,106,en,1704194868935,Harry_S._Truman_1952-03-15,
240,3755,910,4.126374,13.713414,200,en,1704194868935,Harry_S._Truman_1952-03-29,
241,1263,393,3.2137403,7.1249857,71,en,1704194869007,Harry_S._Truman_1952-10-22,
242,3767,1003,3.7557328,12.69625,205,en,1704194868935,Harry_S._Truman_1953-01-15,
243,2377,736,3.2296195,8.40701,207,en,1704194868935,Joe_Biden_2021-01-20,
244,3195,910,3.510989,9.523025,208,en,1704194868935,Joe_Biden_2021-03-11,
245,9501,1653,5.747731,22.431248,573,en,1704194868935,Joe_Biden_2021-03-25,
246,4347,1158,3.753886,11.070562,284,en,1704194868935,Joe_Biden_2021-03-31,
247,8204,1765,4.6481586,17.714294,504,en,1704194868935,Joe_Biden_2021-04-28,
248,4965,1362,3.6453745,11.968355,315,en,1704194868935,Joe_Biden_2021-06-01,
249,4142,947,4.373812,14.049733,241,en,1704194868935,Joe_Biden_2021-07-08,
250,2413,753,3.2045152,8.215879,129,en,1704194868935,Joe_Biden_2021-08-16,
251,3569,854,4.179157,11.436024,200,en,1704194868935,Joe_Biden_2021-08-26,
252,3578,955,3.7465968,9.749519,200,en,1704194868935,Joe_Biden_2021-09-09,
253,3200,908,3.524229,9.747443,230,en,1704194868939,Joe_Biden_2021-11-15,
254,3797,1011,3.7556875,12.659151,221,en,1704194868939,Joe_Biden_2022-01-06,
255,3536,975,3.6266668,10.282464,232,en,1704194868939,Joe_Biden_2022-02-24,
256,6583,1740,3.7833333,13.712259,481,en,1704194868939,Joe_Biden_2022-03-01,
257,3446,1088,3.1672795,10.207666,216,en,1704194868939,Joe_Biden_2022-03-26,
258,824,357,2.3081234,3.704729,63,en,1704194869035,Joe_Biden_2022-05-24,
259,2961,798,3.7105262,10.16934,216,en,1704194868939,Joe_Biden_2022-09-01,
260,3706,1146,3.233857,10.948603,187,en,1704194868939,Joe_Biden_2022-09-21,
261,7263,1774,4.0941377,14.448955,552,en,1704194868939,Joe_Biden_2023-02-07,
262,2705,801,3.3770287,9.441275,211,en,1704194868939,Joe_Biden_2023-02-21,
263,2288,838,2.7303102,6.9079156,60,en,1704194868939,Joe_Biden_2023-10-20,
264,2556,899,2.843159,8.433474,124,en,1704194868939,John_F._Kennedy_1960-07-15,
265,1557,554,2.8104694,6.475032,40,en,1704194869035,John_F._Kennedy_1960-09-12,
266,3664,813,4.506765,13.347442,166,en,1704194868939,John_F._Kennedy_1960-09-26,
267,2386,673,3.5453196,9.329522,110,en,1704194868939,John_F._Kennedy_1960-10-07,
268,1629,501,3.251497,7.4431596,71,en,1704194869035,John_F._Kennedy_1960-10-13,
269,3650,839,4.350417,13.046501,194,en,1704194868939,John_F._Kennedy_1960-10-21,
270,907,385,2.3558443,4.2217965,35,en,1704194869035,John_F._Kennedy_1961-01-09,
271,1369,532,2.5733082,6.020702,52,en,1704194869035,John_F._Kennedy_1961-01-20,
272,5288,1587,3.3320732,13.686271,203,en,1704194868943,John_F._Kennedy_1961-01-30,
273,971,335,2.8985074,5.1418643,35,en,1704194869039,John_F._Kennedy_1961-02-21,
274,412,198,2.0808082,3.1580267,17,en,1704194869039,John_F._Kennedy_1961-03-01,
275,2477,820,3.0207317,9.688724,84,en,1704194868943,John_F._Kennedy_1961-03-13,
276,1531,597,2.5644891,6.718297,63,en,1704194869039,John_F._Kennedy_1961-04-20,
277,2442,862,2.8329465,8.490888,96,en,1704194868943,John_F._Kennedy_1961-04-27,
278,615,273,2.2527473,3.786373,25,en,1704194869039,John_F._Kennedy_1961-05-03,
279,3007,913,3.2935379,10.357922,121,en,1704194868943,John_F._Kennedy_1961-05-17,
280,5912,1552,3.8092782,14.600715,215,en,1704194868943,John_F._Kennedy_1961-05-25,
281,6424,968,6.6363635,19.93329,270,en,1704194868943,John_F._Kennedy_1961-06-06,
282,1306,497,2.6277666,6.480451,45,en,1704194869039,John_F._Kennedy_1961-06-07,
